region,dataset,model_name,threshold,tp,fp,tn,fn,precision,recall,f1,weighted_cost_per_sample,weighted_cost_normalized,utility_profile,fn_weight,fp_weight,n_samples,positive_count,negative_count
houston,houston_pooled_pairwise,hgbt,0.92,29,1,383,11,0.9667,0.7250,0.8286,0.132075,0.095890,miss_sensitive_fn5_fp1,5.00,1.00,424,40,384
houston,houston_pooled_pairwise,hgbt,0.93,29,1,383,11,0.9667,0.7250,0.8286,0.132075,0.095890,miss_sensitive_fn5_fp1,5.00,1.00,424,40,384
houston,houston_pooled_pairwise,hgbt,0.94,29,1,383,11,0.9667,0.7250,0.8286,0.132075,0.095890,miss_sensitive_fn5_fp1,5.00,1.00,424,40,384
houston,houston_pooled_pairwise,hgbt,0.95,29,1,383,11,0.9667,0.7250,0.8286,0.132075,0.095890,miss_sensitive_fn5_fp1,5.00,1.00,424,40,384
houston,houston_pooled_pairwise,hgbt,0.96,29,0,384,11,1.0000,0.7250,0.8406,0.129717,0.094178,miss_sensitive_fn5_fp1,5.00,1.00,424,40,384
houston,houston_pooled_pairwise,hgbt,0.97,29,0,384,11,1.0000,0.7250,0.8406,0.129717,0.094178,miss_sensitive_fn5_fp1,5.00,1.00,424,40,384
houston,houston_pooled_pairwise,hgbt,0.98,27,0,384,13,1.0000,0.6750,0.8060,0.153302,0.111301,miss_sensitive_fn5_fp1,5.00,1.00,424,40,384
houston,houston_pooled_pairwise,hgbt,0.99,25,0,384,15,1.0000,0.6250,0.7692,0.176887,0.128425,miss_sensitive_fn5_fp1,5.00,1.00,424,40,384
houston,houston_pooled_pairwise,hgbt,1.00,0,0,384,40,0.0000,0.0000,0.0000,0.471698,0.342466,miss_sensitive_fn5_fp1,5.00,1.00,424,40,384
nola,nola_pooled_pairwise,hgbt,0.00,50,1321,0,0,0.0365,1.0000,0.0704,0.963530,0.840866,miss_sensitive_fn5_fp1,5.00,1.00,1371,50,1321
nola,nola_pooled_pairwise,hgbt,0.01,49,142,1179,1,0.2565,0.9800,0.4066,0.107221,0.093571,miss_sensitive_fn5_fp1,5.00,1.00,1371,50,1321
nola,nola_pooled_pairwise,hgbt,0.02,45,119,1202,5,0.2744,0.9000,0.4206,0.105033,0.091661,miss_sensitive_fn5_fp1,5.00,1.00,1371,50,1321
nola,nola_pooled_pairwise,hgbt,0.03,45,113,1208,5,0.2848,0.9000,0.4327,0.100656,0.087842,miss_sensitive_fn5_fp1,5.00,1.00,1371,50,1321
nola,nola_pooled_pairwise,hgbt,0.04,45,104,1217,5,0.3020,0.9000,0.4523,0.094092,0.082113,miss_sensitive_fn5_fp1,5.00,1.00,1371,50,1321
nola,nola_pooled_pairwise,hgbt,0.05,45,101,1220,5,0.3082,0.9000,0.4592,0.091904,0.080204,miss_sensitive_fn5_fp1,5.00,1.00,1371,50,1321
nola,nola_pooled_pairwise,hgbt,0.06,45,97,1224,5,0.3169,0.9000,0.4687,0.088986,0.077658,miss_sensitive_fn5_fp1,5.00,1.00,1371,50,1321
nola,nola_pooled_pairwise,hgbt,0.07,44,93,1228,6,0.3212,0.8800,0.4706,0.089716,0.078294,miss_sensitive_fn5_fp1,5.00,1.00,1371,50,1321
nola,nola_pooled_pairwise,hgbt,0.08,44,87,1234,6,0.3359,0.8800,0.4862,0.085339,0.074475,miss_sensitive_fn5_fp1,5.00,1.00,1371,50,1321
nola,nola_pooled_pairwise,hgbt,0.09,44,84,1237,6,0.3438,0.8800,0.4944,0.083151,0.072565,miss_sensitive_fn5_fp1,5.00,1.00,1371,50,1321
nola,nola_pooled_pairwise,hgbt,0.10,44,84,1237,6,0.3438,0.8800,0.4944,0.083151,0.072565,miss_sensitive_fn5_fp1,5.00,1.00,1371,50,1321
nola,nola_pooled_pairwise,hgbt,0.11,44,83,1238,6,0.3465,0.8800,0.4972,0.082422,0.071929,miss_sensitive_fn5_fp1,5.00,1.00,1371,50,1321
nola,nola_pooled_pairwise,hgbt,0.12,44,80,1241,6,0.3548,0.8800,0.5057,0.080233,0.070019,miss_sensitive_fn5_fp1,5.00,1.00,1371,50,1321
nola,nola_pooled_pairwise,hgbt,0.13,44,79,1242,6,0.3577,0.8800,0.5087,0.079504,0.069383,miss_sensitive_fn5_fp1,5.00,1.00,1371,50,1321
nola,nola_pooled_pairwise,hgbt,0.14,43,74,1247,7,0.3675,0.8600,0.5150,0.079504,0.069383,miss_sensitive_fn5_fp1,5.00,1.00,1371,50,1321
nola,nola_pooled_pairwise,hgbt,0.15,42,72,1249,8,0.3684,0.8400,0.5122,0.081692,0.071292,miss_sensitive_fn5_fp1,5.00,1.00,1371,50,1321
nola,nola_pooled_pairwise,hgbt,0.16,42,69,1252,8,0.3784,0.8400,0.5217,0.079504,0.069383,miss_sensitive_fn5_fp1,5.00,1.00,1371,50,1321
nola,nola_pooled_pairwise,hgbt,0.17,42,68,1253,8,0.3818,0.8400,0.5250,0.078775,0.068746,miss_sensitive_fn5_fp1,5.00,1.00,1371,50,1321
nola,nola_pooled_pairwise,hgbt,0.18,42,67,1254,8,0.3853,0.8400,0.5283,0.078045,0.068109,miss_sensitive_fn5_fp1,5.00,1.00,1371,50,1321
