region,dataset,seed,model_name,profile,fp_cost,fn_cost,recommended_threshold,best_threshold,best_cost,recommended_cost,regret,fp_at_rec,fn_at_rec,fp_at_best,fn_at_best,predictions_csv_path
nola,nola_pooled_pairwise,47,hgbt,fn_very_heavy,1.0,5.0,0.35,0.3,91.0,93.0,2.0,43,10,51,8,/Users/seoki/Desktop/research/outputs/2026-04-04_all_models_seed_sweep_10seed/nola/seed_47/nola_pooled_pairwise_tabular_all_models_test_predictions.csv
nola,nola_pooled_pairwise,47,hgbt,fp_heavy,3.0,1.0,0.35,0.95,53.0,139.0,86.0,43,10,8,29,/Users/seoki/Desktop/research/outputs/2026-04-04_all_models_seed_sweep_10seed/nola/seed_47/nola_pooled_pairwise_tabular_all_models_test_predictions.csv
nola,nola_pooled_pairwise,48,hgbt,balanced,1.0,1.0,0.35,0.95,37.0,53.0,16.0,43,10,8,29,/Users/seoki/Desktop/research/outputs/2026-04-04_all_models_seed_sweep_10seed/nola/seed_48/nola_pooled_pairwise_tabular_all_models_test_predictions.csv
nola,nola_pooled_pairwise,48,hgbt,fn_heavy,1.0,3.0,0.35,0.4,70.0,73.0,3.0,43,10,37,11,/Users/seoki/Desktop/research/outputs/2026-04-04_all_models_seed_sweep_10seed/nola/seed_48/nola_pooled_pairwise_tabular_all_models_test_predictions.csv
nola,nola_pooled_pairwise,48,hgbt,fn_very_heavy,1.0,5.0,0.35,0.3,91.0,93.0,2.0,43,10,51,8,/Users/seoki/Desktop/research/outputs/2026-04-04_all_models_seed_sweep_10seed/nola/seed_48/nola_pooled_pairwise_tabular_all_models_test_predictions.csv
nola,nola_pooled_pairwise,48,hgbt,fp_heavy,3.0,1.0,0.35,0.95,53.0,139.0,86.0,43,10,8,29,/Users/seoki/Desktop/research/outputs/2026-04-04_all_models_seed_sweep_10seed/nola/seed_48/nola_pooled_pairwise_tabular_all_models_test_predictions.csv
nola,nola_pooled_pairwise,49,hgbt,balanced,1.0,1.0,0.35,0.95,37.0,53.0,16.0,43,10,8,29,/Users/seoki/Desktop/research/outputs/2026-04-04_all_models_seed_sweep_10seed/nola/seed_49/nola_pooled_pairwise_tabular_all_models_test_predictions.csv
nola,nola_pooled_pairwise,49,hgbt,fn_heavy,1.0,3.0,0.35,0.4,70.0,73.0,3.0,43,10,37,11,/Users/seoki/Desktop/research/outputs/2026-04-04_all_models_seed_sweep_10seed/nola/seed_49/nola_pooled_pairwise_tabular_all_models_test_predictions.csv
nola,nola_pooled_pairwise,49,hgbt,fn_very_heavy,1.0,5.0,0.35,0.3,91.0,93.0,2.0,43,10,51,8,/Users/seoki/Desktop/research/outputs/2026-04-04_all_models_seed_sweep_10seed/nola/seed_49/nola_pooled_pairwise_tabular_all_models_test_predictions.csv
nola,nola_pooled_pairwise,49,hgbt,fp_heavy,3.0,1.0,0.35,0.95,53.0,139.0,86.0,43,10,8,29,/Users/seoki/Desktop/research/outputs/2026-04-04_all_models_seed_sweep_10seed/nola/seed_49/nola_pooled_pairwise_tabular_all_models_test_predictions.csv
