dataset,model_family,model_name,runs,f1_mean,f1_std,f1_ci95,precision_mean,precision_std,recall_mean,recall_std,auroc_mean,auroc_std,auroc_ci95,ece_mean,ece_std,ece_ci95,brier_mean,brier_std,brier_ci95,positive_count_mean
seattle_pooled_pairwise,tabular,logreg,10,0.8214285714285714,0.0,0.0,0.8679245283018868,0.0,0.7796610169491526,0.0,0.9679277085869463,0.0,0.0,0.04816747268408552,0.0,0.0,0.05180571749980046,0.0,0.0,59.0
seattle_pooled_pairwise,tabular,extra_trees,10,0.8173697467009166,0.026131429561191927,0.016196427842205683,0.889244411819981,0.035579332130355176,0.7610169491525424,0.0646392869376885,0.9643084558479258,0.004837944428579872,0.0029985890231763045,0.030037007363420427,0.0017085635258633697,0.0010589786446879856,0.03674179397108574,0.00030529551484428127,0.0001892241205229682,59.0
seattle_pooled_pairwise,regional_raster_cnn,cnn_weighted,10,0.8078384509772634,0.008812496289250652,0.005462041788579559,0.8399758436834167,0.05613515837878422,0.7830508474576271,0.04361640466806505,0.9620844648375316,0.0036222796531481046,0.0022451121891024126,0.3054046325415677,0.029267973905825008,0.01814047816799317,0.18668623624439262,0.02131564545086478,0.013211573926582528,59.0
seattle_pooled_pairwise,regional_raster_cnn,cnn_focal_temp,10,0.8060079729561523,0.020553783178358966,0.012739366797866358,0.8447478222120817,0.09420874154532309,0.7830508474576271,0.0662728962649274,0.9611059087929581,0.0033345637889046556,0.002066784048907685,0.2475064771971497,0.030284060939515335,0.018770255436168604,0.13435603503496887,0.01653576842989058,0.010248975455513867,59.0
seattle_pooled_pairwise,regional_raster_cnn,cnn_focal,10,0.8044761821278392,0.02403088000569699,0.014894493739255702,0.862106461263392,0.09113992599489533,0.764406779661017,0.06003074105825762,0.9611059087929581,0.0033345637889046556,0.002066784048907685,0.30573434465558197,0.020320089796583403,0.012594522139204818,0.1470880507256891,0.012915956219030602,0.00800539260298605,59.0
seattle_pooled_pairwise,regional_raster_cnn,cnn_weighted_temp,10,0.7945632931910722,0.02020986338956051,0.012526203104324951,0.8081314168684197,0.06890528818803801,0.788135593220339,0.04876462288596631,0.9620844648375316,0.0036222796531481046,0.0022451121891024126,0.32235396674584327,0.026001286768925318,0.01611576450386082,0.1808196471116931,0.01731974996018364,0.010734892242243015,59.0
seattle_pooled_pairwise,tabular,random_forest,10,0.7914236122945034,0.016440585218132558,0.010189980289657433,0.902611617867464,0.013518279373399713,0.7050847457627119,0.025517717040985783,0.9590879295814215,0.0036703097486629668,0.002274881550722643,0.023161215439429936,0.0031753007410089207,0.0019680717891312877,0.03748556658114512,0.0005552988781519026,0.00034417781047087957,59.0
seattle_pooled_pairwise,tabular,torch_mlp,10,0.7662326235330543,0.014927097587485947,0.009251910937483784,0.8625038473403643,0.05017860024067123,0.6932203389830508,0.04408952093813937,0.947401442082592,0.008364634565901434,0.005184454216551578,0.14298946389548692,0.03097242496180578,0.019196907877440137,0.07575061369973421,0.010900666803493152,0.006756303282270589,59.0
seattle_pooled_pairwise,tabular,hgbt,10,0.7647058823529411,0.0,0.0,0.9069767441860465,0.0,0.6610169491525424,0.0,0.9621921528232981,0.0,0.0,0.04193463895486937,0.0,0.0,0.04340578027251542,0.0,0.0,59.0
seattle_pooled_pairwise,tabular,rule_score,10,0.5714285714285714,0.0,0.0,0.4153846153846154,0.0,0.9152542372881356,0.0,0.9006227174829105,0.0,0.0,0.15213149643705468,0.0,0.0,0.09862959776680752,0.0,0.0,59.0
